mal_id,title,source,episodes,synopsis,year,season,producers,genres,studios,demographics,themes,rating,sequel,favorites,score,wc,dropped,forum,members,thumbnail,doujinshi_score_z,doujinshi_members_z,manhua_score_z,manhua_members_z,novel_score_z,novel_members_z,manhwa_score_z,manhwa_members_z,light_novel_score_z,light_novel_members_z,manga_score_z,manga_members_z,one_shot_score_z,one_shot_members_z,prequel_score,prequel_members,prequel_type
1,Cowboy Bebop,Original,26,"Crime is timeless. By the year 2071, humanity has expanded across the galaxy, filling the surface of other planets with settlements like those on Earth. These new societies are plagued by murder, drug use, and theft, and intergalactic outlaws are hunted by a growing number of tough bounty hunters.

Spike Spiegel and Jet Black pursue criminals throughout space to make a humble living. Beneath his goofy and aloof demeanor, Spike is haunted by the weight of his violent past. Meanwhile, Jet manages his own troubled memories while taking care of Spike and the Bebop, their ship. The duo is joined by the beautiful con artist Faye Valentine, odd child Edward Wong Hau Pepelu Tivrusky IV, and Ein, a bioengineered Welsh corgi.

While developing bonds and working to catch a colorful cast of criminals, the Bebop crew's lives are disrupted by a menace from Spike's past. As a rival's maniacal plot continues to unravel, Spike must choose between life with his newfound family or revenge for his old wounds.",1998,spring,"['Bandai Visual', 'Victor Entertainment', 'Audio Planning U']","['Action', 'Award Winning', 'Sci-Fi']",['Sunrise'],[],"['Adult Cast', 'Space']",R - 17+ (violence & profanity),False,90617,8.75,1399793,50127,0,2080567,True,,,,,,,,,,,-0.351708138196476,1.6511463873348946,,,,,
6,Trigun,Manga,26,"Vash the Stampede is the man with a $$60,000,000,000 bounty on his head. The reason: he's a merciless villain who lays waste to all those that oppose him and flattens entire cities for fun, garnering him the title ""The Humanoid Typhoon."" He leaves a trail of death and destruction wherever he goes, and anyone can count themselves dead if they so much as make eye contact—or so the rumors say. In actuality, Vash is a huge softie who claims to have never taken a life and avoids violence at all costs.

With his crazy doughnut obsession and buffoonish attitude in tow, Vash traverses the wasteland of the planet Gunsmoke, all the while followed by two insurance agents, Meryl Stryfe and Milly Thompson, who attempt to minimize his impact on the public. But soon, their misadventures evolve into life-or-death situations as a group of legendary assassins are summoned to bring about suffering to the trio. Vash's agonizing past will be unraveled and his morality and principles pushed to the breaking point.",1998,spring,"['Victor Entertainment', 'Arts Pro']","['Action', 'Adventure', 'Sci-Fi']",['Madhouse'],['Shounen'],['Adult Cast'],PG-13 - Teens 13 or older,False,17900,8.22,541055,20831,0,843079,True,,,,,,,,,,,1.6584382257497854,2.769616617415016,,,,,
7,Witch Hunter Robin,Original,26,"Though hidden away from the general public, Witches—those with supernatural powers—have always existed in human societies. Neither numerous nor inherently evil, Witches are nonetheless capable of creating disorder by misusing their powers for criminal means. The task of solving supernatural crimes falls outside of the jurisdiction of normal authorities and is instead handled by the Solomon organization.

Having finished her training in Italy, Robin Sena transfers to Solomon's local Japanese branch, STNJ. Possessing powerful pyrokinetic abilities, she is herself a Witch, putting her at odds with STNJ's methods of dealing with rogue Witches. In particular, Robin opposes the use of an elixir called Orbo, which can weaken or even neutralize a Witch's powers. If Robin wants to find her place within the organization, she must find a way to navigate the internal politics of Solomon while also handling the threat of hostile Witches—but both seem to be dangerous for very different reasons.",2002,summer,"['Bandai Visual', 'Dentsu', 'Victor Entertainment']","['Action', 'Drama', 'Mystery', 'Supernatural']",['Sunrise'],[],['Detective'],PG-13 - Teens 13 or older,False,718,7.24,63071,6705,0,131467,True,,,,,,,,,,,,,,,,,
8,Bouken Ou Beet,Manga,52,"It is the dark century and the people are suffering under the rule of the devil, Vandel, who is able to manipulate monsters. The Vandel Busters are a group of people who hunt these devils, and among them, the Zenon Squad is known to be the strongest busters on the continent. A young boy, Beet, dreams of joining the Zenon Squad. However, one day, as a result of Beet's fault, the Zenon squad was defeated by the devil, Beltose. The five dying busters sacrificed their life power into their five weapons, Saiga. After giving their weapons to Beet, they passed away. Years have passed since then and the young Vandel Buster, Beet, begins his adventure to carry out the Zenon Squad's will to put an end to the dark century.",2004,fall,"['TV Tokyo', 'Dentsu']","['Action', 'Adventure', 'Fantasy']",['Toei Animation'],['Shounen'],[],PG - Children,False,18,6.97,9791,1307,0,16741,True,,,,,,,,,,,0.5373950612412933,1.3325554779046374,,,,,
15,Eyeshield 21,Manga,145,"Shy, reserved, and small-statured, Deimon High School student Sena Kobayakawa is the perfect target for bullies. However, as a result of running errands throughout his life, Sena has become agile and developed a skill for avoiding crowds of people. After the cunning Youichi Hiruma—captain of the Deimon Devil Bats football team—witnesses Sena's rapid legs in motion, he coerces the timid boy into joining his squad.

As Hiruma wants to conceal Sena's identity from other clubs, Sena is forced to hide under the visored helmet of ""Eyeshield 21,"" a mysterious running back wearing the number 21 jersey. The legendary Eyeshield 21 can supposedly run at the speed of light and has achieved remarkable feats in the United States during his time at the Notre Dame College.

Accustomed to avoiding his problems in the past, Sena's specialty might just help him become the new secret weapon of the Deimon Devil Bats. As he interacts with his teammates, Sena gradually gains more self-confidence and forges valuable bonds along the way.",2005,spring,"['TV Tokyo', 'Nihon Ad Systems', 'TV Tokyo Music', 'Shueisha']",['Sports'],['Gallop'],['Shounen'],['Team Sports'],PG-13 - Teens 13 or older,False,2137,7.91,122012,14745,0,197238,True,,,,,,,,,,,3.030749685751561,3.1000408424621657,,,,,
16,Hachimitsu to Clover,Manga,24,"Yuuta Takemoto, a sophomore at an arts college, shares a cheap apartment with two seniors—the eccentric Shinobu Morita, who keeps failing to graduate due to his absenteeism, and the sensible Takumi Mayama, who acts as a proper senior to Takemoto, often looking out for him.

Takemoto had not given much thought to his future until one fine spring day, when he meets the endearing Hagumi Hanamoto and falls in love at first sight. Incredibly gifted in the arts, Hagumi enrolls in Takemoto's university and soon befriends the popular pottery student Ayumi Yamada. Ayumi is already well acquainted with the three flatmates and secretly harbors deep feelings for one of them.

Hachimitsu to Clover is a heartwarming tale of youth, love, soul-searching, and self-discovery, intricately woven through the complex relationships between five dear friends.",2005,spring,"['Aniplex', 'Dentsu', 'Genco', 'Fuji TV', 'Asmik Ace', 'Shueisha']","['Comedy', 'Drama', 'Romance']",['J.C.Staff'],['Josei'],"['Adult Cast', 'Love Polygon', 'Visual Arts']",PG-13 - Teens 13 or older,False,4212,7.98,117076,14761,0,287338,True,,,,,,,,,,,2.682839738145475,2.4761322672848243,,,,,
17,Hungry Heart: Wild Striker,Manga,52,"As the younger brother of Japanese soccer star Seisuke Kanou, Kyousuke was always expected to grow as a soccer player at the same pace his brother did—an expectation that proved too difficult to meet. Having fallen behind, he now lives in the shadow of his brother's success.

Entering his freshman year at Jouyou Akanegaoka High School, Kyousuke vows never to play soccer again. However, Miki Tsujiwaki, the captain of the girls' soccer team, and Mori Kazuto, the manager of the boys' team, recognize Kyousuke's potential and want to see his return to the game for their own reasons.

With an opportunity to play soccer again, Kyousuke must either remain steadfast in his decision to abandon the sport he once loved, or allow himself to reignite that flame to become the best striker in the world.",2002,fall,[],['Sports'],['Nippon Animation'],['Shounen'],['Team Sports'],PG-13 - Teens 13 or older,False,244,7.57,18651,1518,0,26915,True,,,,,,,,,,,-0.1584248339708747,0.5686652361160554,,,,,
18,Initial D Fourth Stage,Manga,24,"Takumi Fujiwara finally joins Ryousuke and Keisuke Takahashi to create ""Project D."" Their goal is twofold: Ryousuke wants to develop his ""High-Speed Street Racing Theory,"" while Keisuke and Takumi aim at improving their driving skills by facing powerful opponents on dangerous roads. The idea of Project D is to challenge street racing teams from other prefectures to improve both their uphill and downhill records. In order to attract the attention of the best racing teams, Ryousuke creates a dedicated website to announce the future battles of Project D and post the team's results.

The fourth season of Initial D details the hardships and successes of the members of Project D as they try to become the best street racing team outside of Gunma Prefecture.",2004,spring,['OB Planning'],"['Action', 'Drama']",['A.C.G.T.'],['Seinen'],['Racing'],PG-13 - Teens 13 or older,True,1457,8.18,177771,2511,0,218026,True,,,,,,,,,,,2.682839738145475,2.622682527347551,,,7.92,210559.0,Movie
19,Monster,Manga,74,"Dr. Kenzou Tenma, an elite neurosurgeon recently engaged to his hospital director's daughter, is well on his way to ascending the hospital hierarchy. That is until one night, a seemingly small event changes Dr. Tenma's life forever. While preparing to perform surgery on someone, he gets a call from the hospital director telling him to switch patients and instead perform life-saving brain surgery on a famous performer. His fellow doctors, fiancée, and the hospital director applaud his accomplishment; but because of the switch, a poor immigrant worker is dead, causing Dr. Tenma to have a crisis of conscience.

So when a similar situation arises, Dr. Tenma stands his ground and chooses to perform surgery on the young boy Johan Liebert instead of the town's mayor. Unfortunately, this choice leads to serious ramifications for Dr. Tenma—losing his social standing being one of them. However, with the mysterious death of the director and two other doctors, Dr. Tenma's position is restored. With no evidence to convict him, he is released and goes on to attain the position of hospital director. 

Nine years later when Dr. Tenma saves the life of a criminal, his past comes back to haunt him—once again, he comes face to face with the monster he operated on. He must now embark on a quest of pursuit to make amends for the havoc spread by the one he saved.",2004,spring,"['VAP', 'Nippon Television Network', 'Arts Pro']","['Drama', 'Mystery', 'Suspense']",['Madhouse'],['Seinen'],"['Adult Cast', 'Psychological']",R+ - Mild Nudity,False,63251,8.9,703234,45268,0,1355208,True,,,,,,,,,,,4.383732815330775,3.805074998029079,,,,,
20,Naruto,Manga,220,"Twelve years ago, a colossal demon fox terrorized the world. During the monster's attack on the Hidden Leaf Village, the Hokage—the village's leader and most powerful ninja—sacrifices himself to seal the beast inside a newborn, relieving civilization from destruction while dooming the baby to a lonely life.

Now, after years of being shunned and bullied, Naruto Uzumaki pesters the village with elaborate pranks and vandalism. Despite these antics, he works hard to achieve his dream: to become the Hokage and earn the acknowledgement of those who have mistreated him for his entire life. Naruto joins Team 7, a ninja squad made up of two of his peers—prodigy Sasuke Uchiha and clever Sakura Haruno.

Under the aloof Kakashi Hatake's leadership, Team 7 takes on a series of difficult missions, forcing its members to grow in strength and comradery despite their many differences. Naruto strives to stand out in his rivalry with Sasuke and earn the romantic affection of Sakura. But as the trio brush against danger and death, their tragic pasts threaten to tear them apart.",2002,fall,"['TV Tokyo', 'Aniplex']","['Action', 'Adventure', 'Fantasy']",['Studio Pierrot'],['Shounen'],['Martial Arts'],PG-13 - Teens 13 or older,False,87448,8.02,2796225,140658,0,3151381,True,,,,,,,,,,,2.2962731296942724,4.0398320445606855,,,,,
